,rank,link,year,director,avg_rating,num_of_ratings,people_watched,people_wants_to_watch,num_comment,num_reviews,Chinese_title,movie_length,main_country_region,main_language
134,135,https://movie.douban.com/subject/3395373/,2012,克里斯托弗·诺兰,8.7,372711,517401,52834,87020,1815,蝙蝠侠：黑暗骑士崛起,165,美国,英语
135,136,https://movie.douban.com/subject/1578507/,2007,保罗·格林格拉斯,8.7,230655,327159,45354,27908,385,谍影重重3,115,美国,英语
136,137,https://movie.douban.com/subject/1907966/,2013,柯克·德·米科,8.7,469470,662527,73950,104674,907,疯狂原始人,98,美国,英语
137,138,https://movie.douban.com/subject/1293318/,1988,高畑勋,8.7,250108,336443,71441,47402,1333,萤火虫之墓,89,日本,日语
138,139,https://movie.douban.com/subject/1303037/,1993,李安,8.9,177291,226159,80851,37644,799,喜宴,108,台湾,汉语普通话
139,140,https://movie.douban.com/subject/1292328/,1994,王家卫,8.6,325636,547382,97326,48165,1682,东邪西毒,100,香港,粤语
140,141,https://movie.douban.com/subject/2209573/,2008,丹尼·博伊尔,8.5,465698,647531,71031,58617,2608,贫民窟的百万富翁,120,英国,英语
141,142,https://movie.douban.com/subject/1978709/,2010,达伦·阿伦诺夫斯基,8.5,507540,682356,109287,115393,2263,黑天鹅,108,美国,英语
142,143,https://movie.douban.com/subject/1304447/,2000,克里斯托弗·诺兰,8.6,344405,478227,144583,68820,1268,记忆碎片,113,美国,英语
143,144,https://movie.douban.com/subject/1297574/,1986,吴宇森,8.6,239439,413950,59361,34613,542,英雄本色,95,香港,粤语
144,145,https://movie.douban.com/subject/1292337/,2004,是枝裕和,9.1,106675,140558,128308,32281,771,无人知晓,141,日本,日语
145,146,https://movie.douban.com/subject/25917973/,2014,忻钰坤,8.7,245193,313305,124117,66776,1085,心迷宫,110,中国大陆,汉语普通话
146,147,https://movie.douban.com/subject/1418200/,2005,乔·赖特,8.5,385333,557314,93582,77565,1516,傲慢与偏见,129,法国,英语
147,148,https://movie.douban.com/subject/1291870/,1988,巴瑞·莱文森,8.7,247797,342018,110658,35607,632,雨人,133,美国,英语
148,149,https://movie.douban.com/subject/26325320/,2016,梅尔·吉布森,8.7,421777,647162,79397,118060,3920,血战钢锯岭,139,美国,英语
149,150,https://movie.douban.com/subject/24750126/,2014,达米安·斯兹弗隆,8.8,196014,243152,110471,52946,715,荒蛮故事,122,阿根廷,西班牙语
150,151,https://movie.douban.com/subject/10577869/,2013,理查德·柯蒂斯,8.7,267562,347590,114171,71512,1354,时空恋旅人,123,英国,英语
151,152,https://movie.douban.com/subject/1295409/,1991,吴宇森,8.7,199252,313374,51693,32071,307,纵横四海,108,香港,粤语
152,153,https://movie.douban.com/subject/1291822/,2004,特瑞·乔治,8.9,148849,217010,120341,25816,686,卢旺达饭店,121,英国,英语
153,154,https://movie.douban.com/subject/1294240/,1990,弗朗西斯·福特·科波拉,8.8,170126,249517,53929,18602,316,教父3,170,美国,英语
154,155,https://movie.douban.com/subject/1858711/,2010,李·昂克里奇,8.8,241735,353753,69285,44624,997,玩具总动员3,103,美国,英语
155,156,https://movie.douban.com/subject/1793929/,2013,让-马克·瓦雷,8.7,239561,329470,125925,51477,629,达拉斯买家俱乐部,117,美国,英语
156,157,https://movie.douban.com/subject/25980443/,2016,肯尼思·洛纳根,8.6,266522,336353,156374,88097,2840,海边的曼彻斯特,137,美国,英语
157,158,https://movie.douban.com/subject/1291557/,2000,王家卫,8.6,306979,437711,80300,59312,1448,花样年华,98,香港,粤语
158,159,https://movie.douban.com/subject/1300992/,1993,克林特·伊斯特伍德,9.0,106442,130010,107176,24707,615,完美的世界,138,美国,英语
159,160,https://movie.douban.com/subject/3443389/,2009,雅克·贝汉,9.0,110975,143636,96759,29618,592,海洋,104,法国,法语
160,161,https://movie.douban.com/subject/1296909/,1966,热拉尔·乌里,8.9,129257,175863,57453,19943,131,虎口脱险,132,法国,法语
161,162,https://movie.douban.com/subject/1309163/,2004,尼克·卡萨维茨,8.5,352523,473914,113448,82937,2144,恋恋笔记本,123,美国,英语
162,163,https://movie.douban.com/subject/4848115/,2010,藤森雅也,8.8,184667,234673,83020,51221,361,你看起来好像很好吃,90,日本,日语
163,164,https://movie.douban.com/subject/1295865/,1994,爱德华·兹威克,8.7,172560,231145,84428,34000,1175,燃情岁月,133,美国,英语
164,165,https://movie.douban.com/subject/26430107/,2015,郭柯,8.7,146916,218083,100614,46027,3763,二十二,99,中国大陆,汉语普通话
165,166,https://movie.douban.com/subject/10533913/,2015,彼特·道格特,8.7,303172,369240,49610,76401,1081,头脑特工队,95,美国,英语
166,167,https://movie.douban.com/subject/1291578/,2002,卡洛斯·沙尔丹哈,8.5,342494,494590,26753,27948,192,冰川时代,81,美国,英语
167,168,https://movie.douban.com/subject/1293460/,1952,斯坦利·多南,9.0,113140,147801,87948,20640,200,雨中曲,103,美国,英语
168,169,https://movie.douban.com/subject/6307447/,2012,昆汀·塔伦蒂诺,8.6,320898,405414,108911,78187,1053,被解救的姜戈,163,美国,英语
169,170,https://movie.douban.com/subject/1306861/,2001,杰茜·尼尔森,8.9,134745,171251,94437,29707,577,我是山姆,132,美国,英语
170,171,https://movie.douban.com/subject/6534248/,2012,瑞奇·摩尔,8.7,268703,360343,78904,63322,609,无敌破坏王,101,美国,英语
171,172,https://movie.douban.com/subject/1302827/,2001,史蒂文·斯皮尔伯格,8.6,237261,314877,98618,44128,1082,人工智能,146,美国,英语
172,173,https://movie.douban.com/subject/1937946/,2006,细田守,8.6,226693,302644,92399,47430,1081,穿越时空的少女,98,日本,日语
173,174,https://movie.douban.com/subject/1293964/,1940,茂文·勒鲁瓦,8.8,153473,248688,101668,23799,465,魂断蓝桥,108,美国,英语
174,175,https://movie.douban.com/subject/25773932/,2014,达米恩·查泽雷,8.6,295159,370993,91343,79439,1737,爆裂鼓手,107,美国,英语
175,176,https://movie.douban.com/subject/1292528/,1996,丹尼·博伊尔,8.5,289184,388882,123606,54252,1188,猜火车,94,英国,英语
176,177,https://movie.douban.com/subject/26683290/,2016,新海诚,8.4,654038,939870,136656,191484,5590,你的名字。,106,日本,日语
177,178,https://movie.douban.com/subject/1395091/,1997,今敏,8.9,129015,157685,90920,32012,488,未麻的部屋,81,日本,日语
178,179,https://movie.douban.com/subject/10463953/,2014,莫滕·泰杜姆,8.6,322008,415397,125367,74622,1199,模仿游戏,114,英国,英语
179,180,https://movie.douban.com/subject/1291879/,1950,黑泽明,8.7,159188,234875,146358,33518,1113,罗生门,88,日本,日语
180,181,https://movie.douban.com/subject/26628357/,2015,汉内斯·赫尔姆,8.8,169182,221872,136373,47837,1144,一个叫欧维的男人决定去死,116,瑞典,瑞典语
181,182,https://movie.douban.com/subject/25724855/,2015,伦尼·阿伯拉罕森,8.8,203306,276827,121900,51463,1291,房间,118,爱尔兰,英语
182,183,https://movie.douban.com/subject/1305690/,1990,王家卫,8.5,266387,382225,95265,55877,1383,阿飞正传,94,香港,粤语
183,184,https://movie.douban.com/subject/1959195/,1987,神山征二郎,9.1,83403,198555,68146,12289,273,忠犬八公物语,107,日本,日语
184,185,https://movie.douban.com/subject/26614893/,2016,保罗·格诺维塞,8.5,295795,370795,121978,94088,2348,完美陌生人,97,意大利,意大利语
185,186,https://movie.douban.com/subject/1760622/,2006,汤姆·提克威,8.4,334567,441731,108181,69117,2415,香水,147,德国,英语
186,187,https://movie.douban.com/subject/3011051/,2009,克里斯托弗·史密斯,8.4,411496,533753,63635,93589,1785,恐怖游轮,99,英国,英语
187,188,https://movie.douban.com/subject/1307811/,1989,宫崎骏,8.5,249212,352733,53270,30618,486,魔女宅急便,103,日本,日语
188,189,https://movie.douban.com/subject/2297265/,2008,丹尼斯·甘塞尔,8.7,160699,197367,106741,39369,1423,浪潮,107,德国,德语
189,190,https://movie.douban.com/subject/2213597/,2008,史蒂芬·戴德利,8.5,316877,421433,121063,51352,3030,朗读者,124,美国,英语
190,191,https://movie.douban.com/subject/26611804/,2017,马丁·麦克唐纳,8.7,419928,522139,186104,118672,3454,三块广告牌,115,美国,英语
191,192,https://movie.douban.com/subject/1308857/,2004,陆川,8.7,157818,324397,82177,23820,630,可可西里,85,中国大陆,汉语普通话
192,193,https://movie.douban.com/subject/1307315/,1979,严定宪,8.9,107470,167444,31354,10167,103,哪吒闹海,65,中国大陆,汉语普通话
193,194,https://movie.douban.com/subject/1302467/,2003,莉莉·沃卓斯基,8.6,200046,276936,24521,17759,281,黑客帝国3：矩阵革命,129,美国,英语
